movie_id,cast_id,cast_name,actor_gender,actor_id,cast_character
14836,2,"Teri Hatcher",1,2,"Mother / Other Mother (voice)"
15173,2,"Mike Nawrocki",2,2,"Larry the Cucumber / Pirate Larry / Jean Claude Pea / Cockney Pea #1 / Self-Help Tape Voice / Jerry Gourd / Whooping BBQ Pea (voice)"
15655,2,"Jim Cummings",2,2,"Tigger / Winnie the Pooh (voice)"
16508,2,"Fred Newman",2,2,"Skeeter / Mr. Dink / Porkchop / Ned"
17813,2,"Kate Hudson",1,2,"Emma Dinsmore / Ylva / Elsa / Eldora / Anna"
18126,2,"Miley Cyrus",1,2,"Miley Stewart/Hannah Montana"
19933,2,"Timothy Stack",0,2,"Lampy / Zeke (voice)"
20055,2,"Oded Fehr",2,2,"Voice / Alek"
22314,2,"LL Cool J",2,2,"Dwayne Gittens / God"
23629,2,"Carla Gugino",1,2,"Madame Vera Gorski / Dr. Vera Gorski"
24034,2,"Nathan Lane",2,2,"Spot Helperman / Scott Leadready II / Scott Manly-Manning (voice)"
24428,2,"Chris Evans",2,2,"Steve Rogers / Captain America"
27579,2,"George Clooney",2,2,"Jack / Edward"
30596,2,"Donnie Yen",2,2,"Sum Chung-Yang / Shen Chong-Yang"
36819,2,"Sean Connery",2,2,"King Agamemnon / Fireman"
37165,2,"Laura Linney",1,2,"Meryl Burbank / Hannah Gill"
40001,2,"Ricki Lake",1,2,"Connie Doyle/\Patricia Winterbourne\"
46529,2,"Alex Pettyfer",2,2,"John Smith / Number Four"
48309,2,"Viggo Mortensen",2,2,"Burke / Forsythe Electrocution"
49026,2,"Christian Bale",2,2,"Bruce Wayne / Batman"
49521,2,"Henry Cavill",2,2,"Clark Kent / Kal-El"
52032,2,"Lynn Redgrave",1,2,"Nancy / Greengrocer's Wife (voice)"
58882,2,"Li Bingbing",1,2,"Nina / Lily"
59860,2,"Selena Gomez",1,2,"Grace /  Cordelia Winthrop Scott"
59917,2,"Redd Foxx",2,2,"Uncle Bud / Booker Washington Sims"
61012,2,"Sean Bean",2,2,"Harry Mason / Christopher Da Silva"
71880,2,"Adam Sandler",2,2,"Jack / Jill"
72559,2,"Channing Tatum",2,2,"Conrad Hauser / Duke"
83542,2,"Halle Berry",1,2,"Native Woman / Jocasta Ayrs / Luisa Rey / Indian Party Guest / Ovid / Meronym"
83770,2,"Garrett Hedlund",2,2,"Dean Moriarty / Neal Cassady"
86304,2,"Lucas Till",2,2,"Cutthroat / Ben"
103370,2,"Tyler Perry",2,2,"Madea / Joe / Brian"
112430,2,"Alfred Molina",2,2,"Harvey Torriti/The Sorcerer"
147767,2,"Akshay Kumar",2,2,"Bahattar Singh (72) / Inspector Tehattar Singh (73)"
262543,2,"Melanie Griffith",1,2,"Dra. Dupre / Cleo (voice)"
276907,2,"Tom Hardy",2,2,"Ronald Kray / Reginald Kray"
293660,2,"Gina Carano",1,2,"Christina / Angel Dust"
333355,2,"Corey Burton",2,2,"Count Dooku / San Hill"
35,3,"Julie Kavner",1,3,"Marge Simpson / Selma / Patty (voice)"
387,3,"Klaus Wennemann",2,3,"Der Leitende/Fritz Grade"
1381,3,"Rachel Weisz",1,3,"Queen Isabella/Izzi Creo"
1452,3,"Brandon Routh",2,3,"Superman / Clark Kent"
1724,3,"Edward Norton",2,3,"Bruce Banner / The Hulk"
2080,3,"Hugh Jackman",2,3,"Logan / Wolverine / Weapon X"
6114,3,"Winona Ryder",1,3,"Mina Murray / Elisabeta"
8011,3,"Deborah Kara Unger",1,3,"Alex Johnson / Sarah"
9342,3,"Antonio Banderas",2,3,"Alejandro Murrieta / Zorro"
9806,3,"Samuel L. Jackson",2,3,"Lucius Best / Frozone (voice)"
10138,3,"Mickey Rourke",2,3,"Ivan Vanko / Whiplash"
10398,3,"Bruce Greenwood",2,3,"Nicholas \Nick\ Parsons / Jonathan Devereaux"
10488,3,"Gerard Butler",2,3,"Jack Rusoe / Alex Rover"
10571,3,"Jason Biggs",2,3,"Hunter / Steve"
10991,3,"Rachael Lillis",1,3,"Misty / Jessie / Wigglytuff"
11072,3,"Mel Brooks",2,3,"Gov. William J. Le Petomane / Indian Chief"
11176,3,"Jerry Nelson",2,3,"Floyd Pepper / Robin the Frog / Crazy Harry / Lew Zealand / Camilla / Dr. Bunsen Honeydew (assistant) (uncredited) (voice)"
11459,3,"Kelly Preston",1,3,"Josie Stronghold / Jetstream"
11469,3,"Marsha Thomason",1,3,"Victoria the Chambermaid / Nicole"
11598,3,"David Zucker",2,3,"Man (segment \His New Car\) / Technician #2 (segment \Eyewitness News\) / Grunwald (segment \Courtroom\)"
13056,3,"Dominic West",2,3,"Billy Russoti / Jigsaw"
13158,3,"Dave Willis",2,3,"Meatwad / Carl / Ignignokt / Video Game Voice (voice)"
13183,3,"Jeffrey Dean Morgan",2,3,"Edward Blake / The Comedian"
13187,3,"Chris Doran",0,3,"Schroeder / Shermy (voice)"
13518,3,"Joshua Tickell",2,3,"Himself / narrator"
15511,3,"Phil Vischer",2,3,"George / Sedgewick / Willory / Sir Frederick / Mr. Hibbing / Bob the Tomato / Pirate Spy / Pirate Philippe Pea"
16186,3,"Tyler Perry",2,3,"Madea / Brian / Joe"
16508,3,"Chris Phillips",0,3,"Roger Klotz / Boomer / Larry / Mr. Chiminy"
17578,3,"Daniel Craig",2,3,"Sakharine / Red Rackham (voice)"
18632,3,"Paul McGillion",2,3,"Ryan / Colt / Detective Morse"
19933,3,"Phil Hartman",2,3,"Air Conditioner / Hanging Lamp (voice)"
20694,3,"Kath Soucie",1,3,"Phil DeVille / Lil DeVille / Betty DeVille"
22804,3,"Tobin Bell",2,3,"Jigsaw / John"
23483,3,"Nicolas Cage",2,3,"Damon Macready / Big Daddy"
24266,3,"Kirk Douglas",2,3,"Harrison / Spur"
24664,3,"Savion Glover",2,3,"Manray / Mantan"
26916,3,"David A.R. White",2,3,"John / Jeremiah"
26963,3,"Liam Hourican",2,3,"Brother Tang / Leonardo (voice)"
29262,3,"Fernanda Torres",1,3,\u00c1urea/Maria
30596,3,"Leon Lai",2,3,"Prince Lau Luk-Yak / Liu Yu-Bai"
34152,3,"David Patrick Kelly",2,3,"Tony Eyes / Jim"
36819,3,"Shelley Duvall",0,3,"Dame Pansy / Pansy"
38985,3,"Bruno Cremer",2,3,"Victor Manzon / \Serrano\"
40001,3,"Brendan Fraser",2,3,"Bill/Hugh Winterbourne"
43867,3,"Ronald Colman",2,3,"Major Rudolf Rassendyll / The Prisoner of Zenda"
49026,3,"Anne Hathaway",1,3,"Selina Kyle / Catwoman"
56715,3,"Christina Applegate",1,3,"Rosalind / Julia"
58882,3,"Jun Ji-hyun",1,3,"Snow Flower / Sophia"
72559,3,"Dwayne Johnson",2,3,"Marvin Hinton / Roadblock"
82533,3,"Adam Brody",2,3,"Fred Packenstacker / Charlie Walker"
83542,3,"Hugo Weaving",2,3,"Haskell Moore / Tadeusz Kesselring / Bill Smoke / Nurse Noakes / Boardman Mephi / Old Georgie"
83770,3,"Kristen Stewart",1,3,"Marylou / LuAnne Henderson"
100402,3,"Sebastian Stan",2,3,"Bucky Barnes / Winter Soldier"
102382,3,"Andrew Garfield",2,3,"Peter Parker / Spider-Man"
112430,3,"Michael Keaton",2,3,"James Jesus Angleton/Mother"
127585,3,"Patrick Stewart",2,3,"Charles Xavier / Professor X (Old)"
142061,3,"Peter Weller",2,3,"Batman / Bruce Wayne"
165864,3,"Lara Flynn Boyle",1,3,"Agnes/The Witch"
293660,3,"Morena Baccarin",1,3,"Vanessa Carlysle / Copycat"
297761,3,"Margot Robbie",1,3,"Harleen Quinzel / Harley Quinn"
342521,3,"Keegan-Michael Key",2,3,"Clarence Goobril / Smoke Dresden"
35,4,"Nancy Cartwright",1,4,"Bart Simpson / Maggie Simpson / Ralph / Nelson / Todd Flanders / TV Daughter / Woman on Phone (voice)"
268,4,"Michael Keaton",2,4,"Bruce Wayne/Batman"
332,4,"Joely Fisher",1,4,"Brenda / Robobrenda"
415,4,"George Clooney",2,4,"Bruce Wayne / Batman"
500,4,"Tim Roth",2,4,"Mr. Orange/Freddy Newandyke"
1497,4,"Michelan Sisti",2,4,"Michaelangelo / Soho Man"
1734,4,"Rachel Weisz",1,4,"Evelyn Carnahan O'Connell/Princess Nefertiri"
2300,4,"Billy West",2,4,"Bugs Bunny/Elmer Fudd (voice)"
2757,4,"Nicolas Cage",2,4,"Charlie/Donald Kaufman"
2787,4,"Rhiana Griffith",0,4,"Jack / Jackie"
3989,4,"Trey Parker",2,4,"Gary Johnston (voice) / Joe (voice) / Kim Jong Il (voice) / Hans Blix (voice) / Carson (voice) / Matt Damon (voice) / Drunk in Bar (voice) / Tim Robbins (voice) / Sean Penn (voice) / Michael Moore (voice) / Helen Hunt (voice) / Susan Sarandon (voice) / Others (voice)"
8435,4,"Gillian Anderson",1,4,"Widow Wadman / Herself"
8675,4,"Trey Parker",2,4,"Joe Young / Orgazmo"
9342,4,"Anthony Hopkins",2,4,"Don Diego de la Vega / Zorro"
9806,4,"Jason Lee",2,4,"Buddy Pine / Syndrome (voice)"
10480,4,"Greg Kinnear",2,4,"Dr. David Ravell/George McCord"
10527,4,"Chris Rock",2,4,"Marty / Additional Zebras (voice)"
10786,4,"Richard Harris",2,4,"Richard the Lionheart / King Richard"
10991,4,"Eric Stuart",2,4,"Brock / James / Squirtle"
11176,4,"Richard Hunt",2,4,"Scooter / Statler / Janice / Sweetums / Beaker / Fozzie Bear (assistant) (voice)"
11827,4,"Joe Flaherty",2,4,"Lawyer / General (voice)"
13155,4,"Nicol Williamson",2,4,"Dr. Worley / Nome King"
13183,4,"Patrick Wilson",2,4,"Dan Dreiberg / Nite Owl II"
14113,4,"Spencer Breslin",2,4,"Tucker Willams / Mega-Boy"
14199,4,"George Lopez",2,4,"Mr. Electricidad / Tobor / Ice Guardian"
14869,4,"Sienna Miller",1,4,"Ana Lewis / Baroness"
15059,4,"Saffron Burrows",0,4,"English / Italian Twin"
15511,4,"Mike Nawrocki",2,4,"Elliot / Pirate Jean Claude Pea / Theater Foe / Pirate Spy Sidekick / Pirate with Dummy / Rock Monster Father"
16869,4,"Samuel L. Jackson",2,4,"Narrator (uncredited / voice)"
17654,4,"Jason Cope",2,4,"Christopher Johnson / Grey Bradnam / Trent"
17710,4,"Dan Castellaneta",2,4,"Grandpa 'Steely' Phil / Nick Vermicelli"
18360,4,"Hank Azaria",2,4,"Kahmunrah / The Thinker / Abe Lincoln"
20455,4,"Lara Jill Miller",1,4,"Kari / Young Kari (voice)"
22820,4,"Sam Rockwell",2,4,"Bronco / Brutus"
23483,4,"Christopher Mintz-Plasse",2,4,"Chris D'Amico / Red Mist"
24664,4,"Tommy Davidson",2,4,"Womack / Sleep'n Eat"
24961,4,"Ted Ross",2,4,"Lion / Fleetwood Coup de Ville"
36657,4,"Hugh Jackman",2,4,"Logan / Wolverine"
36668,4,"Hugh Jackman",2,4,"Logan / Wolverine"
37165,4,"Natascha McElhone",1,4,"Lauren / Sylvia"
38322,4,"Martin Lawrence",2,4,"Malcolm / Big Momma"
40963,4,"Travis Betz",0,4,"Tavis / Flop"
41439,4,"Tobin Bell",2,4,"Jigsaw / John"
44865,4,"Zhang Ziyi",1,4,"Gong Ruomei/Gong Er"
46529,4,"Teresa Palmer",1,4,"Number Six / Maren Elizabeth"
50359,4,"Hank Azaria",2,4,"Carlos / Phil (voice)"
52032,4,"Peter Gerety",2,4,"Mr. Plum / Pugilist (voice)"
59859,4,"Christopher Mintz-Plasse",2,4,"Chris D'Amico / The Motherfucker"
65759,4,"Robin Williams",2,4,"Ramon / Lovelace (voice)"
72559,4,"Adrianne Palicki",1,4,"Jaye Burnett / Lady Jaye"
76493,4,"Sacha Baron Cohen",2,4,"Aladeen / Efawadh"
83770,4,"Kirsten Dunst",1,4,"Camille / Carolyn Cassady"
86304,4,"Sophie Merkley",1,4,"Shadow / Jill"
100402,4,"Anthony Mackie",2,4,"Sam Wilson / Falcon"
127585,4,"James McAvoy",2,4,"Charles Xavier / Professor X (Young)"
142061,4,"Ariel Winter",1,4,"Robin / Carrie Kelley"
293644,4,"Jason Harris",0,4,"Top Cat / Choo Choo / Brain (voice)"
268,5,"Jack Nicholson",2,5,"Jack Napier/The Joker"
364,5,"Danny DeVito",2,5,"Oswald Cobblepot/The Penguin"
500,5,"Michael Madsen",2,5,"Mr. Blonde/Vic Vega"
1635,5,"Ewan McGregor",2,5,"Lincoln Six Echo / Tom Lincoln"
1771,5,"Chris Evans",2,5,"Steve Rogers / Captain America"
2300,5,"Dee Bradley Baker",2,5,"Daffy Duck/Tazmanian Devil/Bull (voice)"
3933,5,"Tracey Ullman",0,5,"Nell Van Dort / Hildegarde (voice)"
8435,5,"Stephen Fry",2,5,"Patrick Curator / Parson Yorick"
9023,5,"Jeff LeBeau",2,5,"Murphy / Railroad Foreman (voice)"
9804,5,"Zitto Kazann",2,5,"Elder / Survivor"
10138,5,"Scarlett Johansson",1,5,"Natalie Rushman / Natasha Romanoff / Black Widow"
11176,5,"Dave Goelz",2,5,"The Great Gonzo / Dr. Bunsen Honeydew / Zoot / Doglion / Iraqian in El Sleezo Cafe / Pig (voice)"
11361,5,"Don Shanks",0,5,"Michael Myers / Man In Black"
13183,5,"Billy Crudup",2,5,"Jon Osterman / Dr. Manhattan"
14113,5,"Kevin Zegers",2,5,"Connor Shepard / Concussion"
14517,5,"Rob Brydon",2,5,"Morris Campbell / Prime Minister"
14869,5,"Joseph Gordon-Levitt",2,5,"The Doctor / Rex"
15122,5,"Tiffani Thiessen",1,5,"Rebecca Melini / Juliette"
15511,5,"Cam Clarke",0,5,"Robert the Terrible / The King"
15670,5,"Tyler Perry",2,5,"Madea / Joe / Brian"
16388,5,"Edward Burns",2,5,"Barry/Finbar McMullen"
17170,5,"Jason Robards",2,5,"Drunken Writer/Mr. Hardy"
17710,5,"Tress MacNeille",1,5,"Grandma Gertie 'Pookie' / Mayor Dixie / Red"
20455,5,"Joshua Seth",0,5,"Young Tai / Tai (voice)"
23629,5,"Jon Hamm",2,5,"The Doctor / The High Roller"
30596,5,"Nicholas Tse",2,5,"Ah Si / Deng Si-Di"
36657,5,"Patrick Stewart",2,5,"Charles Xavier / Professor X"
36668,5,"Halle Berry",1,5,"Ororo Munroe / Storm"
38322,5,"Brandon T. Jackson",2,5,"Trent / Charmaine"
38985,5,Amidou,2,5,"Kassem / \Martinez\"
49852,5,"Frances de la Tour",1,5,"The Rat Queen / Frau Eva"
57201,5,"Armie Hammer",2,5,"John Reid / The Lone Ranger"
61012,5,"Adelaide Clemens",1,5,"Heather Mason / Sharon Da Silva / Alessa"
62177,5,"Kevin McKidd",2,5,"Lord MacGuffin / Young MacGuffin (voice)"
71676,5,"Nicolas Cage",2,5,"Johnny Blaze / Ghost Rider"
74084,5,"Annabelle Wallis",1,5,"Sophie Besson / Savirti Pradhan"
83770,5,"Tom Sturridge",2,5,"Carlo Marx / Allen Ginsberg"
102382,5,"Dane DeHaan",2,5,"Harry Osborn / Green Goblin"
127585,5,"Michael Fassbender",2,5,"Erik Lehnsherr / Magneto (Young)"
153397,5,"Charlotte Rampling",1,5,"Sally Gilmartin / Eva Delectorskaya"
227973,5,"Bill Melendez",2,5,"Snoopy / Woodstock (voice--archive)"
239897,5,"Melissa Leo",1,5,"Grandma Fitz / Butterfly McDweg / Mrs. Fitzgerald"
293644,5,"David Hoffman",0,5,"Granny Dibble / Counter Person / Statue (voice)"
293660,5,"Ed Skrein",2,5,"Francis Freeman / Ajax"
297761,5,"Jai Courtney",2,5,"George 'Digger' Harkness / Boomerang"
333355,5,"Andr\u00e9 Sogliuzzo",0,5,"ARC Captian / Captain Typho / Various Troopers & droids"
342521,5,"Jordan Peele",2,5,"Rell Williams / Oil Dresden"
75,6,"Jack Nicholson",2,6,"President James Dale / Art Land"
157,6,"Leonard Nimoy",2,6,"Capt. Spock/Elevator Voice"
364,6,"Michelle Pfeiffer",1,6,"Selina Kyle/Catwoman"
387,6,"Bernd Tauber",2,6,Kriechbaum/Navigator
414,6,"Val Kilmer",2,6,"Bruce Wayne / Batman"
1497,6,"Mark Caso",2,6,"Leonardo / News Room Staff"
1729,6,"Liu Yifei",1,6,"Golden Sparrow / Chinatown Girl"
1771,6,"Hugo Weaving",2,6,"Johann Schmidt / Red Skull"
2907,6,"Elizabeth Wilson",0,6,"Abigail Craven/Dr. Greta Pinder-Schloss"
3594,6,"Danny Huston",2,6,"Isaac French / Dr. Miles Phoenix"
8285,6,"Gabriel Macht",2,6,"The Spirit/Denny Colt"
8326,6,"Shia LaBeouf",2,6,"Stanley Yelnats/Caveman"
8359,6,"Max Thieriot",2,6,"Will Shephard/Charlie Kittredge"
10364,6,"Buck Henry",0,6,"Lt. Colonel Korn (XO / Roman policeman)"
13155,6,"Jean Marsh",1,6,"Nurse Wilson / Mombi"
13183,6,"Jackie Earle Haley",2,6,"Walter Kovacs / Rorschach"
14112,6,"Maria Bello",1,6,"Patricia Olson / Patrica Crane / Sigrid Valdis"
14113,6,"Kate Mara",1,6,"Summer Jones / Wonder"
14353,6,"Anthony Stewart Head",2,6,"Nathan Wallace / Repo Man"
14517,6,"Gina McKee",1,6,"Joanne Campbell / Queen of Light / Queen of Shadows"
14836,6,"John Hodgman",2,6,"Father / Other Father (voice)"
15673,6,"Stephen Spinella",2,6,"Robert / Peaches"
23483,6,"Chlo\u00eb Grace Moretz",1,6,"Mindy Macready / Hit-Girl"
24747,6,"Devon Gearhart",0,6,"Little Bobby (6 / 8)"
24913,6,"Tom Heaton",2,6,"Constable Potter / Uncle Frank"
29426,6,"Kathleen Munroe",0,6,"Janet / Jane O'Flynn"
31117,6,"Jon Voight",2,6,"Bill Biscane / Kane"
32657,6,"Pierce Brosnan",2,6,"Mr. Brunner / Chiron"
36657,6,"Ian McKellen",2,6,"Eric Lensherr / Magneto"
36668,6,"Ian McKellen",2,6,"Eric Lehnsherr / Magneto"
44865,6,"Chang Chen",2,6,"Yi Xian Tian/Razor"
44912,6,"Ryan Reynolds",2,6,"Hal Jordan / Green Lantern"
49017,6,"Luke Evans",2,6,"Dracula / Vlad Tepes"
62630,6,"Dominic Cooper",2,6,"Latif Yahia / Uday Hussein"
71676,6,"Ciar\u00e1n Hinds",2,6,"Roarke / The Devil"
76492,6,"Kevin James",2,6,"Frank / Frankenstein (voice)"
83770,6,"Viggo Mortensen",2,6,"Old Bull Lee / William S. Burroughs"
102382,6,"Jamie Foxx",2,6,"Max Dillon / Electro"
127585,6,"Ian McKellen",2,6,"Erik Lehnsherr / Magneto (Old)"
153397,6,"Michael Gambon",2,6,"Baron Mansfield / Lucas Romer"
239897,6,"Maggie Wheeler",1,6,"Sophia-So-Dwegon / Argalite / Juno Luno"
293660,6,"Brianna Hildebrand",1,6,"Ellie Phimister / Negasonic Teenage Warhead"
294512,6,"Kate Higgins",1,6,"Kate / Lilly / Stinky\t(voice)"
168,7,"William Shatner",2,7,"Admiral/Captain James T. Kirk"
189,7,"Jaime King",1,7,"Goldie / Wendy"
414,7,"Tommy Lee Jones",2,7,"Harvey Dent / Two-Face"
755,7,"Cheech Marin",2,7,"Border Guard/Chet Pussy/Carlos"
1927,7,"Eric Bana",2,7,"Bruce Banner / The Hulk"
1979,7,"Ioan Gruffudd",2,7,"Reed Richards / Mr. Fantastic"
2080,7,"Liev Schreiber",2,7,"Victor Creed / Sabretooth"
2907,7,"Dana Ivey",1,7,"Margaret Alford/Margaret Addams"
8069,7,"Milo O'Shea",2,7,"Concierge / Durand-Durand"
10156,7,"Mel Brooks",2,7,"Moses/Comicus/Torquemada/Jacques/King Louis XVI"
10353,7,"Christian Clavier",2,7,"Jacquouille la Fripouille / Jacques-Henri Jacquard / Prosper le Purineur / Jacouillet"
13191,7,"Ned Bellamy",2,7,"Ooq-Yu-Fay Taqnufmini / Zubleh"
13223,7,"Doua Moua",0,7,Fong/Spider
13518,7,"Sheryl Crow",1,7,"Herself - Musician / Environmental Activist"
13805,7,"Nicole Ari Parker",1,7,"Enchanted Princess / Amy Winehouse Look-A-Like / Jessica Simpson Look-A-Like"
14113,7,"Michael Cassidy",2,7,"Dylan West / Houdini"
14120,7,"Chad Allen",2,7,"Nate Saint / Steve Saint / Narrator"
14160,7,"Bob Peterson",2,7,"Dug / Alpha (voice)"
14199,7,"Jacob Davich",2,7,"Linus / Minus"
14869,7,"Christopher Eccleston",2,7,"McCullen / Destro"
15673,7,"Alec Mapa",2,7,"Lee / N'Cream"
17578,7,"Andy Serkis",2,7,"Captain Haddock / Sir Francis Haddock (voice)"
20763,7,"Tom Hanks",2,7,"Older Mike/Narrator (uncredited)"
27723,7,"Matt Keeslar",0,7,"Lars / Larry"
30943,7,"Ryan Merriman",0,7,"Sam Karras / Ben Cappadora - Age 12"
36657,7,"Famke Janssen",1,7,"Jean Grey / Phoenix"
36668,7,"Patrick Stewart",2,7,"Charles Xavier / Professor X"
